Module	Test	Test status	Error/Failure Type	Error/Failure Message
s3tests.functional.test_headers	test_object_create_bad_md5_invalid_short	FAILED	 exceptions.AssertionError	 u'BadDigest' != 'InvalidDigest'
s3tests.functional.test_headers	test_object_create_bad_md5_bad	PASSED	 	
s3tests.functional.test_headers	test_object_create_bad_md5_empty	PASSED	 	
s3tests.functional.test_headers	test_object_create_bad_md5_unreadable	ERROR	 socket.error	 [Errno 104] Connection reset by peer
s3tests.functional.test_headers	test_object_create_bad_md5_none	PASSED	 	
s3tests.functional.test_headers	test_object_create_bad_expect_mismatch	ERROR	 boto.exception.S3ResponseError	 S3ResponseError: 417 Expectation Failed
s3tests.functional.test_headers	test_object_create_bad_expect_empty	PASSED	 	
s3tests.functional.test_headers	test_object_create_bad_expect_none	PASSED	 	
s3tests.functional.test_headers	test_object_create_bad_expect_unreadable	ERROR	 socket.error	 [Errno 104] Connection reset by peer
s3tests.functional.test_headers	test_object_create_bad_contentlength_empty	FAILED	 exceptions.AssertionError	 u'BadDigest' != None
s3tests.functional.test_headers	test_object_create_bad_contentlength_negative	ERROR	 socket.error	 [Errno 104] Connection reset by peer
s3tests.functional.test_headers	test_object_create_bad_contentlength_none	FAILED	 exceptions.AssertionError	 400 != 411
s3tests.functional.test_headers	test_object_create_bad_contentlength_unreadable	ERROR	 socket.error	 [Errno 104] Connection reset by peer
s3tests.functional.test_headers	test_object_create_bad_contentlength_mismatch_above	ERROR	 socket.timeout	 timed out
s3tests.functional.test_headers	test_object_create_bad_contenttype_invalid	PASSED	 	
s3tests.functional.test_headers	test_object_create_bad_contenttype_empty	PASSED	 	
s3tests.functional.test_headers	test_object_create_bad_contenttype_none	PASSED	 	
s3tests.functional.test_headers	test_object_create_bad_contenttype_unreadable	ERROR	 socket.error	 [Errno 104] Connection reset by peer
s3tests.functional.test_headers	test_object_create_bad_authorization_unreadable	ERROR	 socket.error	 [Errno 104] Connection reset by peer
s3tests.functional.test_headers	test_object_create_bad_authorization_empty	FAILED	 exceptions.AssertionError	 400 != 403
s3tests.functional.test_headers	test_object_create_date_and_amz_date	ERROR	 boto.exception.S3ResponseError	 S3ResponseError: 403 Forbidden
s3tests.functional.test_headers	test_object_create_amz_date_and_no_date	PASSED	 	
s3tests.functional.test_headers	test_object_create_bad_authorization_none	PASSED	 	
s3tests.functional.test_headers	test_bucket_create_contentlength_none	PASSED	 	
s3tests.functional.test_headers	test_object_acl_create_contentlength_none	ERROR	 boto.exception.S3ResponseError	 S3ResponseError: 501 Not Implemented
s3tests.functional.test_headers	test_bucket_put_bad_canned_acl	FAILED	 exceptions.AssertionError	 501 != 400
s3tests.functional.test_headers	test_bucket_create_bad_expect_mismatch	ERROR	 boto.exception.S3ResponseError	 S3ResponseError: 417 Expectation Failed
s3tests.functional.test_headers	test_bucket_create_bad_expect_empty	PASSED	 	
s3tests.functional.test_headers	test_bucket_create_bad_expect_unreadable	ERROR	 boto.exception.S3ResponseError	 S3ResponseError: 400 Bad Request: invalid header value
s3tests.functional.test_headers	test_bucket_create_bad_contentlength_empty	FAILED	 exceptions.AssertionError	 S3ResponseError not raised
s3tests.functional.test_headers	test_bucket_create_bad_contentlength_negative	PASSED	 	
s3tests.functional.test_headers	test_bucket_create_bad_contentlength_none	PASSED	 	
s3tests.functional.test_headers	test_bucket_create_bad_contentlength_unreadable	PASSED	 	
s3tests.functional.test_headers	test_bucket_create_bad_authorization_unreadable	FAILED	 exceptions.AssertionError	 400 != 403
